tipo,classe,local,internados,data_atualizacao,lat,long,semana_epidemiologica,leitos_total,leitos_disponiveis,lotacao,leitos_covid
emergencia,adulto,HCPA,17,2020-03-31,-30.038435,-51.206637,14,41,24,0.4146341463414634,NA
emergencia,adulto,Hospital Conceição,42,2020-03-31,-30.01587,-51.158236,14,64,22,0.65625,NA
emergencia,adulto,Instituto de Cardiologia,11,2020-03-31,-30.049092,-51.20903,14,21,10,0.5238095238095238,NA
emergencia,adulto,Hospital Santa Casa,14,2020-03-31,-30.030803,-51.221512,14,24,10,0.5833333333333334,NA
emergencia,adulto,Hospital São Lucas,5,2020-03-31,-30.055122,-51.173819,14,17,12,0.29411764705882354,NA
emergencia,adulto,Hospital Restinga,6,2020-03-31,-30.142524,-51.128803,14,18,12,0.3333333333333333,NA
emergencia,adulto,Hospital Vila Nova,2,2020-03-31,-30.119308,-51.207744,14,26,24,0.07692307692307693,NA
emergencia,adulto,PA Bom Jesus,5,2020-03-31,-30.043194,-51.153916,14,7,2,0.7142857142857143,NA
emergencia,adulto,PA Cruzeiro do Sul,6,2020-03-31,-30.069603,-51.216537,14,12,6,0.5,NA
emergencia,adulto,PA Lomba do Pinheiro,2,2020-03-31,-30.110731,-51.110188,14,9,7,0.2222222222222222,NA
emergencia,adulto,UPA Zona Norte,12,2020-03-31,-30.009546,-51.146056,14,17,5,0.7058823529411765,NA
emergencia,pediatrico,HCPA,1,2020-03-31,-30.038435,-51.206637,14,9,8,0.1111111111111111,NA
emergencia,pediatrico,Hospital Conceição,3,2020-03-31,-30.01587,-51.158236,14,16,13,0.1875,NA
emergencia,pediatrico,Hospital Santa Casa,0,2020-03-31,-30.030803,-51.221512,14,11,11,0,NA
emergencia,pediatrico,Hospital São Lucas,0,2020-03-31,-30.055122,-51.173819,14,4,4,0,NA
emergencia,pediatrico,HMIPV,4,2020-03-31,-30.029525,-51.214865,14,9,5,0.4444444444444444,NA
emergencia,pediatrico,Hospital Restinga,0,2020-03-31,-30.142524,-51.128803,14,6,6,0,NA
emergencia,pediatrico,PA Bom Jesus,0,2020-03-31,-30.043194,-51.153916,14,5,5,0,NA
emergencia,pediatrico,PA Cruzeiro do Sul,0,2020-03-31,-30.069603,-51.216537,14,9,9,0,NA
emergencia,pediatrico,PA Lomba do Pinheiro,0,2020-03-31,-30.110731,-51.110188,14,4,4,0,NA
uti,adulto,Hospital Conceição,43,2020-03-31,-30.01587,-51.158236,14,59,16,0.7288135593220338,1
uti,adulto,HCPA,39,2020-03-31,-30.038435,-51.206637,14,55,16,0.7090909090909091,6
uti,adulto,Hospital Santa Casa,70,2020-03-31,-30.030803,-51.221512,14,87,17,0.8045977011494253,0
uti,adulto,Hospital São Lucas,33,2020-03-31,-30.055122,-51.173819,14,59,26,0.559322033898305,0
uti,adulto,Hospital Cristo Redentor,21,2020-03-31,-30.010102,-51.15926,14,29,8,0.7241379310344828,0
uti,adulto,Hospital Moinhos de Vento,38,2020-03-31,-30.02552,-51.20842,14,56,18,0.6785714285714286,7
uti,adulto,Hospital Ernesto Dornelles,26,2020-03-31,-30.047509,-51.212131,14,40,14,0.65,0
uti,adulto,Hospital Vila Nova,20,2020-03-31,-30.119308,-51.207744,14,20,0,1,0
uti,adulto,HPS,12,2020-03-31,-30.036874,-51.209282,14,20,8,0.6,0
uti,adulto,HospitaL Independência,8,2020-03-31,-30.061051,-51.149073,14,10,2,0.8,0
uti,adulto,Hospital Femina,2,2020-03-31,-30.029239,-51.206848,14,4,2,0.5,0
uti,adulto,Hospital Divina Providência,12,2020-03-31,-30.084428,-51.18839,14,16,4,0.75,0
uti,adulto,Hospital Restinga,10,2020-03-31,-30.142524,-51.128803,14,10,0,1,0
uti,adulto,Hospital Santa Ana,6,2020-03-31,-30.086664,-51.20689,14,10,4,0.6,0
uti,adulto,Hospital Mãe de Deus,41,2020-03-31,-30.058845,-51.228945,14,50,9,0.82,4
uti,pediatrico,Hospital Santa Casa,9,2020-03-31,-30.030803,-51.221512,14,37,28,0.24324324324324326,0
uti,pediatrico,Hospital São Lucas,4,2020-03-31,-30.055122,-51.173819,14,12,8,0.3333333333333333,0
uti,pediatrico,HCPA,10,2020-03-31,-30.038435,-51.206637,14,13,3,0.7692307692307693,0
uti,pediatrico,HPS,6,2020-03-31,-30.036874,-51.209282,14,8,2,0.75,0
uti,pediatrico,Hospital Moinhos de Vento,7,2020-03-31,-30.02552,-51.20842,14,11,4,0.6363636363636364,0
uti,pediatrico,Hospital Conceição,5,2020-03-31,-30.01587,-51.158236,14,18,13,0.2777777777777778,0
uti,pediatrico,HMIPV,3,2020-03-31,-30.029525,-51.214865,14,6,3,0.5,0
emergencia,adulto,HCPA,14,2020-04-01,-30.038435,-51.206637,14,41,27,0.34146341463414637,NA
emergencia,adulto,Hospital Conceição,38,2020-04-01,-30.01587,-51.158236,14,64,26,0.59375,NA
emergencia,adulto,Instituto de Cardiologia,11,2020-04-01,-30.049092,-51.20903,14,21,10,0.5238095238095238,NA
emergencia,adulto,Hospital Santa Casa,10,2020-04-01,-30.030803,-51.221512,14,24,14,0.4166666666666667,NA
emergencia,adulto,Hospital São Lucas,5,2020-04-01,-30.055122,-51.173819,14,17,12,0.29411764705882354,NA
emergencia,adulto,Hospital Restinga,7,2020-04-01,-30.142524,-51.128803,14,18,11,0.3888888888888889,NA
emergencia,adulto,Hospital Vila Nova,2,2020-04-01,-30.119308,-51.207744,14,26,24,0.07692307692307693,NA
emergencia,adulto,PA Bom Jesus,1,2020-04-01,-30.043194,-51.153916,14,7,6,0.14285714285714285,NA
emergencia,adulto,PA Cruzeiro do Sul,7,2020-04-01,-30.069603,-51.216537,14,12,5,0.5833333333333334,NA
emergencia,adulto,PA Lomba do Pinheiro,6,2020-04-01,-30.110731,-51.110188,14,9,3,0.6666666666666666,NA
emergencia,adulto,UPA Zona Norte,4,2020-04-01,-30.009546,-51.146056,14,17,13,0.23529411764705882,NA
emergencia,adulto,HCPA,21,2020-04-02,-30.038435,-51.206637,14,41,20,0.5121951219512195,NA
emergencia,adulto,Hospital Conceição,30,2020-04-02,-30.01587,-51.158236,14,64,34,0.46875,NA
emergencia,adulto,Instituto de Cardiologia,10,2020-04-02,-30.049092,-51.20903,14,21,11,0.47619047619047616,NA
emergencia,adulto,Hospital Santa Casa,16,2020-04-02,-30.030803,-51.221512,14,24,8,0.6666666666666666,NA
emergencia,adulto,Hospital São Lucas,6,2020-04-02,-30.055122,-51.173819,14,17,11,0.35294117647058826,NA
emergencia,adulto,Hospital Restinga,11,2020-04-02,-30.142524,-51.128803,14,18,7,0.6111111111111112,NA
emergencia,adulto,Hospital Vila Nova,5,2020-04-02,-30.119308,-51.207744,14,26,21,0.19230769230769232,NA
emergencia,adulto,PA Bom Jesus,7,2020-04-02,-30.043194,-51.153916,14,7,0,1,NA
emergencia,adulto,PA Cruzeiro do Sul,5,2020-04-02,-30.069603,-51.216537,14,12,7,0.4166666666666667,NA
emergencia,adulto,PA Lomba do Pinheiro,3,2020-04-02,-30.110731,-51.110188,14,9,6,0.3333333333333333,NA
emergencia,adulto,UPA Zona Norte,4,2020-04-02,-30.009546,-51.146056,14,17,13,0.23529411764705882,NA
emergencia,pediatrico,HCPA,4,2020-04-01,-30.038435,-51.206637,14,9,5,0.4444444444444444,NA
emergencia,pediatrico,Hospital Conceição,3,2020-04-01,-30.01587,-51.158236,14,16,13,0.1875,NA
emergencia,pediatrico,Hospital Santa Casa,1,2020-04-01,-30.030803,-51.221512,14,11,10,0.09090909090909091,NA
emergencia,pediatrico,Hospital São Lucas,0,2020-04-01,-30.055122,-51.173819,14,4,4,0,NA
emergencia,pediatrico,HMIPV,3,2020-04-01,-30.029525,-51.214865,14,9,6,0.3333333333333333,NA
emergencia,pediatrico,Hospital Restinga,0,2020-04-01,-30.142524,-51.128803,14,6,6,0,NA
emergencia,pediatrico,PA Bom Jesus,1,2020-04-01,-30.043194,-51.153916,14,5,4,0.2,NA
emergencia,pediatrico,PA Cruzeiro do Sul,0,2020-04-01,-30.069603,-51.216537,14,9,9,0,NA
emergencia,pediatrico,PA Lomba do Pinheiro,0,2020-04-01,-30.110731,-51.110188,14,4,4,0,NA
emergencia,pediatrico,HCPA,3,2020-04-02,-30.038435,-51.206637,14,9,6,0.3333333333333333,NA
