tipo,classe,local,internados,data_atualizacao,lat,long,leitos_total,leitos_disponiveis,lotacao,leitos_covid,semana_epidemiologica
emergencia,adulto,HCPA,17,2020-03-31,-30.038435,-51.206637,41,24,0.4146341463414634,NA,14
emergencia,adulto,Hospital Conceição,42,2020-03-31,-30.01587,-51.158236,64,22,0.65625,NA,14
emergencia,adulto,Instituto de Cardiologia,11,2020-03-31,-30.049092,-51.20903,21,10,0.5238095238095238,NA,14
emergencia,adulto,Hospital Santa Casa,14,2020-03-31,-30.030803,-51.221512,24,10,0.5833333333333334,NA,14
emergencia,adulto,Hospital São Lucas,5,2020-03-31,-30.055122,-51.173819,17,12,0.29411764705882354,NA,14
emergencia,adulto,Hospital Restinga,6,2020-03-31,-30.142524,-51.128803,18,12,0.3333333333333333,NA,14
emergencia,adulto,Hospital Vila Nova,2,2020-03-31,-30.119308,-51.207744,26,24,0.07692307692307693,NA,14
emergencia,adulto,PA Bom Jesus,5,2020-03-31,-30.043194,-51.153916,7,2,0.7142857142857143,NA,14
emergencia,adulto,PA Cruzeiro do Sul,6,2020-03-31,-30.069603,-51.216537,12,6,0.5,NA,14
emergencia,adulto,PA Lomba do Pinheiro,2,2020-03-31,-30.110731,-51.110188,9,7,0.2222222222222222,NA,14
emergencia,adulto,UPA Zona Norte,12,2020-03-31,-30.009546,-51.146056,17,5,0.7058823529411765,NA,14
emergencia,pediatrico,HCPA,1,2020-03-31,-30.038435,-51.206637,9,8,0.1111111111111111,NA,14
emergencia,pediatrico,Hospital Conceição,3,2020-03-31,-30.01587,-51.158236,16,13,0.1875,NA,14
emergencia,pediatrico,Hospital Santa Casa,0,2020-03-31,-30.030803,-51.221512,11,11,0,NA,14
emergencia,pediatrico,Hospital São Lucas,0,2020-03-31,-30.055122,-51.173819,4,4,0,NA,14
emergencia,pediatrico,HMIPV,4,2020-03-31,-30.029525,-51.214865,9,5,0.4444444444444444,NA,14
emergencia,pediatrico,Hospital Restinga,0,2020-03-31,-30.142524,-51.128803,6,6,0,NA,14
emergencia,pediatrico,PA Bom Jesus,0,2020-03-31,-30.043194,-51.153916,5,5,0,NA,14
emergencia,pediatrico,PA Cruzeiro do Sul,0,2020-03-31,-30.069603,-51.216537,9,9,0,NA,14
emergencia,pediatrico,PA Lomba do Pinheiro,0,2020-03-31,-30.110731,-51.110188,4,4,0,NA,14
uti,adulto,Hospital Conceição,43,2020-03-31,-30.01587,-51.158236,59,16,0.7288135593220338,1,14
uti,adulto,HCPA,39,2020-03-31,-30.038435,-51.206637,55,16,0.7090909090909091,6,14
uti,adulto,Hospital Santa Casa,70,2020-03-31,-30.030803,-51.221512,87,17,0.8045977011494253,0,14
uti,adulto,Hospital São Lucas,33,2020-03-31,-30.055122,-51.173819,59,26,0.559322033898305,0,14
uti,adulto,Hospital Cristo Redentor,21,2020-03-31,-30.010102,-51.15926,29,8,0.7241379310344828,0,14
uti,adulto,Hospital Moinhos de Vento,38,2020-03-31,-30.02552,-51.20842,56,18,0.6785714285714286,7,14
