cnes,municipio,regiao_covid,codigo_regiao_covid,latitude,longitude,data_atualizacao,leitos_total,leitos_internacoes,leitos_covid,lotacao,leitos_disponiveis,semana_epidemiologica,hospital
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-10,20,0,0,0,20,15/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-11,20,0,0,0,20,15/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-12,20,0,0,0,20,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-13,20,0,0,0,20,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-14,20,2,0,0.1,18,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-15,20,2,0,0.1,18,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-16,20,2,0,0.1,18,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-17,20,2,0,0.1,18,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-18,20,2,0,0.1,18,16/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-19,20,2,0,0.1,18,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-20,20,2,0,0.1,18,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-21,20,1,0,0.05,19,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-22,20,1,0,0.05,19,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-23,20,0,0,0,20,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-24,20,0,0,0,20,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-25,20,1,0,0.05,19,17/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-26,20,1,0,0.05,19,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-27,20,1,0,0.05,19,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-28,20,4,1,0.2,16,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-29,20,2,0,0.1,18,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-04-30,20,2,0,0.1,18,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-01,20,2,0,0.1,18,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-02,20,2,0,0.1,18,18/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-03,20,2,0,0.1,18,19/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-04,20,2,0,0.1,18,19/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-05,20,2,0,0.1,18,19/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-06,20,2,0,0.1,18,19/20,Hbmpa
2237156,Porto Alegre,PORTO ALEGRE - R10,7,-30.0979336,-51.2511144,2020-05-07,20,1,0,0.05,19,19/20,Hbmpa
