bairro,populacao
ABERTA DOS MORROS,7146
AGRONOMIA,2331
ANCHIETA,2024
ARQUIPÉLAGO,8330
AUXILIADORA,9683
AZENHA,13804
BELA VISTA,11787
BELÉM NOVO,10100
BELÉM VELHO,10835
BOA VISTA,10053
BOA VISTA DO SUL,2309
BOM FIM,11593
BOM JESUS,28675
CAMAQUÃ,17938
CAMPO NOVO,8766
CASCATA,13013
CAVALHADA,29299
CEL. APARICIO BORGES,19303
CENTRO HISTÓRICO,39154
CHÁCARA DAS PEDRAS,6668
CHAPÉU DO SOL,2913
CIDADE BAIXA,15379
COSTA E SILVA,15842
CRISTAL,31946
CRISTO REDENTOR,16455
ESPÍRITO SANTO,5606
EXTREMA,1981
FARRAPOS,18986
FARROUPILHA,961
FLORESTA,11596
GLÓRIA,17067
GUARUJÁ,4811
HIGIENÓPOLIS,10724
HÍPICA,18645
HUMAITÁ,11502
INDEPENDÊNCIA,8112
IPANEMA,13728
JARDIM BOTÂNICO,12521
JARDIM CARVALHO,25386
JARDIM DO SALSO,4405
JARDIM EUROPA,2299
JARDIM FLORESTA,3307
JARDIM ISABEL,2835
JARDIM ITU,17853
JARDIM LEOPOLDINA,18016
JARDIM LINDÓIA,7417
JARDIM SABARÁ,13530
JARDIM SÃO PEDRO,3967
LAGEADO,4481
LAMI,4289
LOMBA DO PINHEIRO,58106
MÁRIO QUINTANA,38116
MEDIANEIRA,11223
MENINO DEUS,31650
MOINHOS DE VENTO,11937
MONTSERRAT,11236
MORRO SANTANA,19338
NAVEGANTES,4327
NONOAI,25160
PARQUE SANTA FÉ,6376
PARTENON,48160
PASSO DA AREIA,21968
PASSO DAS PEDRAS,15902
PEDRA REDONDA,274
PETRÓPOLIS,37496
PITINGA,4352
PONTA GROSSA,8722
PRAIA DE BELAS,2281
RESTINGA,53508
RIO BRANCO,17531
RUBEM BERTA,33168
SANTA CECÍLIA,5768
SANTA MARIA GORETTI,3509
SANTA ROSA DE LIMA,35333
SANTA TEREZA,39577
SANTANA,20723
SANTO ANTÔNIO,13161
SÃO CAETANO,757
SÃO GERALDO,8681
SÃO JOÃO,12226
SÃO SEBASTIÃO,26522
SARANDI,7019
SERRARIA,59711
SÉTIMO CÉU,6239
TERESÓPOLIS,1329
TRÊS FIGUEIRAS,14707
TRISTEZA,4070
VILA ASSUNÇÃO,16692
VILA CONCEIÇÃO,4418
VILA IPIRANGA,1349
VILA JARDIM,18659
VILA JOÃO PESSOA,13189
VILA NOVA,13041
VILA SÃO JOSÉ,32469
